pft_index,pft_name,param_min,param_max
1,white_spruce,1.53,3
2,black_spruce,1.53,3
3,larch,2,4.14
4,broadleaf_colddecid_extratrop_tree,2.05,5
5,broadleaf_colddecid_extratrop_shrub,1,3
6,broadleaf_evergreen_extratrop_shrub,2.25,5.95
7,jack_pine,1.53,3
8,needleleaf_evergreen_extratrop_shrub,1.53,4.14
